Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality,Acres_seeded
Soybean,Peaty,5.5,26.38325813,73.61674187,5.112092168,49.5,45,38.5,19.09366566,22.16666667,65
Corn,Clay,6.25,13.52816669,80,8.914327086,72,55,40,27.79242,48.70833333,18
Corn,Sandy,6.75,16.66821766,80,16.83543618,60,44,30,30.62699906,39.08333333,66
Rice,Sandy,6.75,25.77619769,74.22380231,12.01677185,65,48,33,59.36207063,42.58333333,13
Barley,Loamy,6.5,12.90928483,80,6.866515761,70,60,50,25.60125484,60,49
Corn,Loamy,6.5,17.16154366,80,9.616912448,84,66,50,75.59113378,66.66666667,61
Barley,Peaty,5.5,15.72613389,80,9.983990587,55,45,35,28.88413579,22.5,61
Corn,Clay,6.25,15.61026967,80,12.4554542,72,55,40,45.09913261,48.70833333,100
Soybean,Loamy,6.5,19.69141903,80,8.451865815,63,60,55,87.08270595,59.33333333,58
Corn,Sandy,6.75,17.83926737,80,8.663492436,60,44,30,57.14888014,39.08333333,75
Barley,Clay,6.25,10.97606542,80,6.9875777,60,50,40,6.420503881,43.75,20
Soybean,Sandy,6.75,17.30037505,80,9.250806152,45,40,33,37.01718051,34.41666667,70
Barley,Sandy,6.75,15.82348914,80,5.518511076,50,40,30,30.81701941,35,41
Corn,Clay,6.25,19.28722966,80,10.95341551,72,55,40,69.0332411,48.70833333,48
Barley,Clay,6.25,10.91532165,80,11.25475766,60,50,40,6.782802102,43.75,99
Rice,Clay,6.25,18.39149706,80,9.855911408,78,60,44,33.12709642,53.08333333,43
Barley,Loamy,6.5,15.53839935,80,13.36555957,70,60,50,56.3780777,60,39
Barley,Loamy,6.5,23.09401013,76.90598987,12.35740048,70,60,50,64.79829393,60,81
Soybean,Sandy,6.75,14.87911511,80,8.286985841,45,40,33,26.62732222,34.41666667,28
Corn,Clay,6.25,16.96742693,80,13.79559175,72,55,40,58.36064289,48.70833333,96
Barley,Clay,6.25,20.86119623,79.13880377,8.260897266,60,50,40,64.95702039,43.75,13
Soybean,Peaty,5.5,13.15239192,80,10.61364819,49.5,45,38.5,15.04069684,22.16666667,17
Corn,Clay,6.25,17.06109201,80,9.683824224,72,55,40,65.98691298,48.70833333,4
Rice,Clay,6.25,21.58471782,78.41528218,11.31790827,78,60,44,51.86875596,53.08333333,5
Soybean,Sandy,6.75,17.00812753,80,7.943169157,45,40,33,40.55245966,34.41666667,22
Rice,Loamy,6.5,19.23539505,80,13.66750274,91,72,55,51.77268605,72.66666667,14
Barley,Peaty,5.5,14.55238695,80,13.28435113,55,45,35,24.18659253,22.5,22
Soybean,Peaty,5.5,12.41775529,80,10.13273156,49.5,45,38.5,11.27093264,22.16666667,46
Corn,Clay,6.25,14.1801956,80,9.691467511,72,55,40,33.07055316,48.70833333,34
Barley,Sandy,6.75,15.33749268,80,13.3165778,50,40,30,34.03509465,35,27
Soybean,Loamy,6.5,19.19592434,80,15.44611805,63,60,55,73.74098295,59.33333333,61
Corn,Loamy,6.5,26.23064483,73.76935517,14.92604548,84,66,50,40.81895563,66.66666667,66
Rice,Clay,6.25,15.01391185,80,14.86128894,78,60,44,0.127753425,53.08333333,22
Barley,Clay,6.25,15.29200736,80,8.637267175,60,50,40,37.63038493,43.75,68
Barley,Clay,6.25,16.59890967,80,7.532135754,60,50,40,46.31036531,43.75,88
Soybean,Sandy,6.75,17.3850186,80,3.169261906,45,40,33,42.41749759,34.41666667,69
Barley,Clay,6.25,27.89854669,72.10145331,12.00094121,60,50,40,12.16376913,43.75,55
Corn,Clay,6.25,18.6648759,80,13.68300698,72,55,40,60.41976598,48.70833333,35
Rice,Peaty,5.5,18.4749895,80,15.83962851,71.5,54,38.5,22.20210042,27.33333333,50
Barley,Peaty,5.5,23.63416921,76.36583079,13.93363069,55,45,35,36.76254175,22.5,71
Soybean,Clay,6.25,14.44386969,80,7.288277076,54,50,44,28.94257869,43.16666667,92
Barley,Clay,6.25,20.83151374,79.16848626,10.80217694,60,50,40,67.4269705,43.75,55
Soybean,Peaty,5.5,12.26869914,80,12.94320596,49.5,45,38.5,12.92915406,22.16666667,58
Corn,Loamy,6.5,11.99208159,80,11.93775348,84,66,50,22.65855261,66.66666667,31
Barley,Peaty,5.5,12.19772451,80,14.56351641,55,45,35,13.46781234,22.5,10
Soybean,Sandy,6.75,11.33623185,80,7.89498427,45,40,33,7.857045428,34.41666667,22
Corn,Peaty,5.5,25.30279308,74.69720692,7.939252733,66,49.5,35,26.87254755,25.08333333,2
Corn,Loamy,6.5,17.68326376,80,13.73210184,84,66,50,59.90517469,66.66666667,9
Rice,Clay,6.25,18.0356555,80,13.93347666,78,60,44,22.95604219,53.08333333,40
Barley,Sandy,6.75,12.48768757,80,7.415848893,50,40,30,12.93133998,35,22
Soybean,Sandy,6.75,17.27943886,80,16.49500703,45,40,33,38.17561968,34.41666667,43
Corn,Peaty,5.5,18.02769889,80,9.559003653,66,49.5,35,46.56539559,25.08333333,38
Rice,Loamy,6.5,16.47262371,80,4.847512798,91,72,55,15.18456593,72.66666667,19
Soybean,Loamy,6.5,12.87900489,80,7.179553257,63,60,55,29.4105691,59.33333333,31
Corn,Peaty,5.5,16.18212338,80,7.645305061,66,49.5,35,39.62904803,25.08333333,80
Barley,Loamy,6.5,17.37642795,80,15.18089155,70,60,50,63.73475274,60,68
Soybean,Loamy,6.5,16.96955987,80,7.374923777,63,60,55,59.44746958,59.33333333,5
Corn,Peaty,5.5,14.32378552,80,12.31929982,66,49.5,35,28.32552496,25.08333333,6
Barley,Peaty,5.5,14.92090145,80,13.59592412,55,45,35,21.42474055,22.5,31
Rice,Peaty,5.5,20.26528717,79.73471283,16.0999159,71.5,54,38.5,30.00252703,27.33333333,18
Soybean,Clay,6.25,16.75644405,80,15.06968037,54,50,44,53.0065551,43.16666667,2
Soybean,Peaty,5.5,15.36188793,80,9.934583986,49.5,45,38.5,28.48644138,22.16666667,91
Corn,Peaty,5.5,11.65927957,80,7.169850852,66,49.5,35,8.866213245,25.08333333,47
Rice,Sandy,6.75,18.82695107,80,9.424535625,65,48,33,23.304387,42.58333333,54
Barley,Peaty,5.5,15.58860609,80,6.313598744,55,45,35,30.8205043,22.5,44
Soybean,Loamy,6.5,18.94449649,80,9.184263997,63,60,55,79.82352438,59.33333333,40
Barley,Loamy,6.5,10.80087376,80,10.20933764,70,60,50,7.958937323,60,83
Rice,Loamy,6.5,19.29628612,80,11.03853324,91,72,55,39.51994178,72.66666667,35
Soybean,Loamy,6.5,12.32335907,80,9.728400153,63,60,55,21.36436119,59.33333333,86
Barley,Sandy,6.75,14.15589138,80,8.325671927,50,40,30,19.68019137,35,8
Soybean,Loamy,6.5,11.33106013,80,10.10819017,63,60,55,12.25813477,59.33333333,44
Corn,Peaty,5.5,12.4870027,80,16.51282815,66,49.5,35,14.70842428,25.08333333,2
Barley,Clay,6.25,13.92250899,80,8.681233867,60,50,40,21.77768154,43.75,78
Soybean,Clay,6.25,14.02351152,80,10.91398549,54,50,44,21.20886506,43.16666667,23
Barley,Clay,6.25,19.48419658,80,13.22911599,60,50,40,71.57771285,43.75,64
Soybean,Peaty,5.5,10.55926052,80,9.079356554,49.5,45,38.5,3.427922492,22.16666667,22
Corn,Loamy,6.5,13.95941571,80,7.492137761,84,66,50,39.18682415,66.66666667,76
Barley,Peaty,5.5,13.32302139,80,6.419089505,55,45,35,19.59367473,22.5,73
Corn,Peaty,5.5,21.36243723,78.63756277,14.54391072,66,49.5,35,62.58327401,25.08333333,99
Barley,Loamy,6.5,14.21351287,80,6.705563566,70,60,50,36.5495688,60,74
Soybean,Clay,6.25,10.80901843,80,8.669145086,54,50,44,5.063990601,43.16666667,45
Barley,Sandy,6.75,20.30321465,79.69678535,9.430592441,50,40,30,63.23120423,35,89
Corn,Loamy,6.5,16.11619457,80,13.58186878,84,66,50,59.10141305,66.66666667,82
Barley,Loamy,6.5,11.02786973,80,11.78067017,70,60,50,6.530724762,60,74
Corn,Peaty,5.5,13.46019235,80,15.175352,66,49.5,35,22.23028408,25.08333333,99
Barley,Clay,6.25,13.90278094,80,11.97773701,60,50,40,30.41444495,43.75,12
Soybean,Peaty,5.5,17.23699673,80,7.733489996,49.5,45,38.5,34.25933362,22.16666667,96
Corn,Peaty,5.5,21.84854389,78.15145611,11.1772479,66,49.5,35,46.5741914,25.08333333,23
Barley,Sandy,6.75,19.67940778,80,8.121429903,50,40,30,55.25747423,35,96
Soybean,Sandy,6.75,10.7077503,80,13.37676331,45,40,33,3.858652706,34.41666667,99
Corn,Sandy,6.75,15.78875391,80,10.60990883,60,44,30,35.79649204,39.08333333,73
Barley,Clay,6.25,20.55859284,79.44140716,13.81209876,60,50,40,71.51352589,43.75,14
Soybean,Sandy,6.75,21.17560911,78.82439089,9.039724057,45,40,33,47.4987917,34.41666667,100
Corn,Clay,6.25,15.50678356,80,9.314200254,72,55,40,39.33898789,48.70833333,14
Soybean,Peaty,5.5,22.05938259,77.94061741,8.347266452,49.5,45,38.5,35.07873139,22.16666667,44
Corn,Peaty,5.5,20.31855684,79.68144316,10.89368475,66,49.5,35,61.58270236,25.08333333,96
Rice,Clay,6.25,18.46212808,80,10.57498268,78,60,44,36.78093935,53.08333333,32
Soybean,Peaty,5.5,27.23930874,72.76069126,11.11328215,49.5,45,38.5,14.31670202,22.16666667,70
Corn,Loamy,6.5,22.73954834,77.26045166,7.465850615,84,66,50,66.66484242,66.66666667,85
Barley,Loamy,6.5,21.76229097,78.23770903,9.978399863,70,60,50,78.69917706,60,77
Soybean,Sandy,6.75,21.75313481,78.24686519,13.9639121,45,40,33,52.78560681,34.41666667,82
Corn,Clay,6.25,25.86670712,74.13329288,9.432638828,72,55,40,35.39537745,48.70833333,65
Rice,Peaty,5.5,17.90645731,80,10.64093764,71.5,54,38.5,17.42662754,27.33333333,5
Barley,Peaty,5.5,19.84992712,80,5.856670732,55,45,35,60.55715907,22.5,13
Soybean,Clay,6.25,25.05570782,74.94429218,12.12892387,54,50,44,39.12841149,43.16666667,11
Soybean,Clay,6.25,20.84777797,79.15222203,11.56754232,54,50,44,67.0321001,43.16666667,8
Rice,Peaty,5.5,30.29103523,69.70896477,12.81268037,71.5,54,38.5,30.53074774,27.33333333,4
Barley,Sandy,6.75,25.43984411,74.56015589,9.451295029,50,40,30,20.7625425,35,75
Soybean,Peaty,5.5,28.47768879,71.52231121,12.54730633,49.5,45,38.5,7.496130195,22.16666667,46
Rice,Peaty,5.5,18.86562233,80,8.696064731,71.5,54,38.5,27.07350215,27.33333333,28
Soybean,Loamy,6.5,21.63188429,78.36811571,9.299898134,63,60,55,83.69319979,59.33333333,98
Corn,Clay,6.25,21.49331404,78.50668596,4.757640746,72,55,40,66.61527007,48.70833333,41
Barley,Loamy,6.5,19.66639446,80,8.359959746,70,60,50,84.6342172,60,42
Soybean,Peaty,5.5,20.57022843,79.42977157,9.726477299,49.5,45,38.5,60.42951045,22.16666667,41
Corn,Peaty,5.5,24.68904492,75.31095508,12.27371619,66,49.5,35,36.63699966,25.08333333,36
Corn,Loamy,6.5,24.72595683,75.27404317,14.25106124,84,66,50,56.3338457,66.66666667,43
Rice,Loamy,6.5,21.18356948,78.81643052,10.11381351,91,72,55,72.00660673,72.66666667,7
Barley,Loamy,6.5,23.9534309,76.0465691,4.846617713,70,60,50,55.96935202,60,3
Soybean,Peaty,5.5,29.99664856,70.00335144,9.288769027,49.5,45,38.5,0.018396991,22.16666667,3
Corn,Loamy,6.5,27.73231882,72.26768118,9.00607485,84,66,50,20.51289616,66.66666667,50
Rice,Peaty,5.5,24.47937923,75.52062077,12.33926649,71.5,54,38.5,52.09259677,27.33333333,28
Soybean,Sandy,6.75,22.53625224,77.46374776,11.7082428,45,40,33,44.18289274,34.41666667,4
Corn,Sandy,6.75,25.27467055,74.72532945,7.035193425,60,44,30,24.62441759,39.08333333,28
Barley,Loamy,6.5,23.31235857,76.68764143,5.867147498,70,60,50,56.78946744,60,72
Soybean,Peaty,5.5,26.29260957,73.70739043,10.11470031,49.5,45,38.5,22.28720484,22.16666667,1
Soybean,Loamy,6.5,23.06160908,76.93839092,7.979579432,63,60,55,68.19973448,59.33333333,95
Corn,Loamy,6.5,24.35045109,75.64954891,9.450418245,84,66,50,60.17425767,66.66666667,34
Rice,Clay,6.25,23.95522922,76.04477078,16.33040675,78,60,44,79.49689189,53.08333333,9
Soybean,Clay,6.25,28.5225327,71.4774673,12.36717006,54,50,44,9.98174487,43.16666667,24
Corn,Sandy,6.75,29.30228024,70.69771976,6.879124815,60,44,30,4.286882189,39.08333333,36
Rice,Loamy,6.5,27.55396044,72.44603956,13.09174176,91,72,55,73.24074892,72.66666667,23
Barley,Sandy,6.75,29.27262614,70.72737386,10.29493058,50,40,30,3.889183592,35,46
Soybean,Loamy,6.5,19.8413271,80,13.34008152,63,60,55,87.89547801,59.33333333,50
Corn,Clay,6.25,24.90753706,75.09246294,12.07542947,72,55,40,46.84870339,48.70833333,39
Rice,Loamy,6.5,29.69110999,70.30889001,8.935187646,91,72,55,51.42986079,72.66666667,27
Barley,Loamy,6.5,25.76720488,74.23279512,13.03438911,70,60,50,42.76356295,60,80
Barley,Sandy,6.75,20.9784212,79.0215788,10.75949571,50,40,30,55.6414541,35,22
Corn,Clay,6.25,26.66032625,73.33967375,11.59967668,72,55,40,28.10651261,48.70833333,77
Barley,Peaty,5.5,19.36954046,80,9.713607259,55,45,35,41.60850805,22.5,86
Soybean,Sandy,6.75,26.56524855,73.43475145,9.887020169,45,40,33,21.76366487,34.41666667,62
Rice,Peaty,5.5,20.60864963,79.39135037,12.88586986,71.5,54,38.5,37.64852202,27.33333333,43
Barley,Loamy,6.5,23.90124752,76.09875248,11.32595802,70,60,50,52.52643927,60,91
Corn,Clay,6.25,29.99408322,70.00591678,10.23992948,72,55,40,0.050870721,48.70833333,47
Corn,Sandy,6.75,24.30353994,75.69646006,7.891815952,60,44,30,31.88999519,39.08333333,69
Rice,Sandy,6.75,18.83531823,80,6.990460507,65,48,33,26.91697593,42.58333333,14
Barley,Loamy,6.5,22.99417897,77.00582103,14.73435417,70,60,50,69.26588497,60,65
Soybean,Peaty,5.5,26.65670823,73.34329177,11.60020255,49.5,45,38.5,15.71898024,22.16666667,41
Barley,Peaty,5.5,23.81722356,76.18277644,7.583183805,55,45,35,36.76621202,22.5,58
Barley,Clay,6.25,27.3867532,72.6132468,12.03291907,60,50,40,19.45187691,43.75,43
Soybean,Loamy,6.5,25.80288675,74.19711325,10.15992226,63,60,55,43.32339116,59.33333333,75
Corn,Peaty,5.5,23.25192505,76.74807495,10.29720723,66,49.5,35,34.45959577,25.08333333,44
Barley,Sandy,6.75,25.09200815,74.90799185,12.68214879,50,40,30,26.55336248,35,46
Soybean,Peaty,5.5,26.12632059,73.87367941,12.07816827,49.5,45,38.5,17.72194251,22.16666667,67
Rice,Loamy,6.5,24.35241377,75.64758623,11.73957186,91,72,55,94.7351546,72.66666667,30
Barley,Loamy,6.5,29.2777783,70.7222217,9.465341559,70,60,50,5.293072611,60,88
Soybean,Clay,6.25,27.2175086,72.7824914,6.544394846,54,50,44,17.6252666,43.16666667,12
Corn,Clay,6.25,20.93957534,79.06042466,4.80639609,72,55,40,82.61621153,48.70833333,78
Barley,Peaty,5.5,27.05513327,72.94486673,13.6307305,55,45,35,15.05045434,22.5,37
Soybean,Sandy,6.75,21.50004103,78.49995897,6.797666963,45,40,33,45.8749418,34.41666667,5
Corn,Clay,6.25,16.31591796,80,14.70338839,72,55,40,45.7948364,48.70833333,35
Barley,Loamy,6.5,23.16634226,76.83365774,5.599644428,70,60,50,58.41915007,60,83
Soybean,Sandy,6.75,25.71671941,74.28328059,6.614131009,45,40,33,24.89077843,34.41666667,22
Corn,Clay,6.25,21.37876734,78.62123266,10.85077003,72,55,40,85.46314797,48.70833333,35
Rice,Loamy,6.5,29.50199294,70.49800706,11.35367596,91,72,55,62.99772461,72.66666667,26
Barley,Sandy,6.75,19.10979566,80,6.981191937,50,40,30,50.1397108,35,100
Soybean,Sandy,6.75,26.86884214,73.13115786,13.30587009,45,40,33,14.47958151,34.41666667,70
Soybean,Sandy,6.75,21.86133047,78.13866953,9.135883378,45,40,33,52.08819159,34.41666667,26
Soybean,Loamy,6.5,21.24648986,78.75351014,9.865719077,63,60,55,77.32781234,59.33333333,62
Corn,Peaty,5.5,23.29546061,76.70453939,4.519214361,66,49.5,35,44.16968826,25.08333333,83
Barley,Peaty,5.5,25.10971904,74.89028096,6.54000279,55,45,35,21.91954616,22.5,68
Soybean,Sandy,6.75,16.03053751,80,5.933657491,45,40,33,31.40458947,34.41666667,17
Corn,Peaty,5.5,29.01959665,70.98040335,10.47113274,66,49.5,35,6.155110737,25.08333333,85
Corn,Clay,6.25,27.09102878,72.90897122,10.07838242,72,55,40,18.54026224,48.70833333,64
Soybean,Peaty,5.5,23.83283601,76.16716399,9.877616531,49.5,45,38.5,31.46702896,22.16666667,34
Corn,Sandy,6.75,25.04139637,74.95860363,11.64088329,60,44,30,31.76125927,39.08333333,98
Barley,Sandy,6.75,16.33308069,80,5.087185248,50,40,30,36.53029966,35,100
Soybean,Sandy,6.75,25.7943856,74.2056144,8.898190879,45,40,33,25.58556366,34.41666667,83
Corn,Loamy,6.5,21.86343277,78.13656723,13.58228575,84,66,50,72.28365539,66.66666667,70
Barley,Loamy,6.5,24.69498014,75.30501986,13.6624639,70,60,50,43.55900664,60,71
Soybean,Peaty,5.5,21.14265177,78.85734823,14.19088474,49.5,45,38.5,43.5390379,22.16666667,62
Corn,Sandy,6.75,27.5993172,72.4006828,6.680141768,60,44,30,15.59572137,39.08333333,81
Barley,Peaty,5.5,21.87950644,78.12049356,6.872615149,55,45,35,49.22860801,22.5,6
Corn,Sandy,6.75,18.49338461,80,12.80862703,60,44,30,55.05948477,39.08333333,2
Rice,Clay,6.25,30.88428122,69.11571878,11.45356104,78,60,44,27.75747064,53.08333333,6
Barley,Sandy,6.75,29.19381072,70.80618928,6.189816734,50,40,30,4.462813204,35,14
Soybean,Clay,6.25,27.587109,72.412891,8.297485198,54,50,44,14.54165215,43.16666667,15
Soybean,Loamy,6.5,22.77552827,77.22447173,7.289917127,63,60,55,63.81584807,59.33333333,54
Barley,Loamy,6.5,14.56761171,80,6.86093538,70,60,50,41.22814226,60,58
Soybean,Clay,6.25,24.92822767,75.07177233,9.609632111,54,50,44,36.54462023,43.16666667,24
Corn,Sandy,6.75,26.09654818,73.90345182,7.657134424,60,44,30,23.44471796,39.08333333,73
Soybean,Clay,6.25,22.37716493,77.62283507,14.05660804,54,50,44,55.86104253,43.16666667,42
Soybean,Sandy,6.75,28.80863565,71.19136435,7.018956968,45,40,33,5.663536583,34.41666667,36
Corn,Clay,6.25,27.40526646,72.59473354,10.67728457,72,55,40,19.9577216,48.70833333,83
Barley,Peaty,5.5,25.55016545,74.44983455,5.982514793,55,45,35,24.23387341,22.5,68
Soybean,Sandy,6.75,21.70496621,78.29503379,5.006569794,45,40,33,50.77113481,34.41666667,36
Corn,Peaty,5.5,23.79503403,76.20496597,8.082308316,66,49.5,35,34.02607542,25.08333333,43
Rice,Clay,6.25,18.05728723,80,5.199186686,78,60,44,23.21293975,53.08333333,34
Barley,Loamy,6.5,25.79731253,74.20268747,7.197556861,70,60,50,39.71964489,60,15
Corn,Peaty,5.5,22.35851477,77.64148523,5.794275797,66,49.5,35,52.07481827,25.08333333,91
Rice,Clay,6.25,31.18826879,68.81173121,11.13930291,78,60,44,27.30676265,53.08333333,32
Barley,Clay,6.25,23.44846147,76.55153853,10.21709053,60,50,40,47.68119416,43.75,92
Corn,Clay,6.25,24.34969853,75.65030147,9.52377482,72,55,40,42.05495381,48.70833333,2
Barley,Loamy,6.5,23.71895214,76.28104786,10.68892425,70,60,50,51.31770255,60,93
Soybean,Sandy,6.75,24.41744811,75.58255189,14.99440549,45,40,33,28.52365349,34.41666667,68
Corn,Loamy,6.5,21.13715626,78.86284374,5.303126631,84,66,50,97.72098824,66.66666667,26
Barley,Loamy,6.5,24.27856029,75.72143971,6.52945201,70,60,50,56.25010434,60,23
Soybean,Loamy,6.5,27.57647161,72.42352839,7.49715457,63,60,55,25.37756056,59.33333333,96
Corn,Sandy,6.75,25.95788698,74.04211302,7.497060778,60,44,30,26.88136856,39.08333333,73
Soybean,Clay,6.25,22.04441631,77.95558369,12.28978277,54,50,44,52.82369523,43.16666667,9
Corn,Sandy,6.75,21.95049619,78.04950381,7.045020623,60,44,30,52.25303063,39.08333333,22
Barley,Sandy,6.75,21.05692651,78.94307349,8.557498631,50,40,30,54.52427137,35,54
Rice,Loamy,6.5,26.31601461,73.68398539,8.752935399,91,72,55,95.22165595,72.66666667,2
Barley,Clay,6.25,26.99824553,73.00175447,14.11013098,60,50,40,17.41839678,43.75,53
Soybean,Clay,6.25,22.92692125,77.07307875,12.83201843,54,50,44,47.42475377,43.16666667,75
Corn,Peaty,5.5,21.50900163,78.49099837,11.19533159,66,49.5,35,53.35075239,25.08333333,89
Barley,Peaty,5.5,25.32675298,74.67324702,2.331046398,55,45,35,25.48096773,22.5,88
Barley,Loamy,6.5,19.80096734,80,10.35879603,70,60,50,82.6037211,60,39
Rice,Sandy,6.75,30.7308913,69.2691087,9.70604066,65,48,33,24.74284719,42.58333333,47
Barley,Peaty,5.5,21.98054942,78.01945058,12.95912952,55,45,35,40.2218307,22.5,9
Corn,Sandy,6.75,21.83969621,78.16030379,5.059408425,60,44,30,55.08060643,39.08333333,98
Barley,Loamy,6.5,26.68496455,73.31503545,11.48219176,70,60,50,20.83950488,60,27
Soybean,Peaty,5.5,22.09615947,77.90384053,9.22575787,49.5,45,38.5,41.37698047,22.16666667,78
Rice,Sandy,6.75,22.21924036,77.78075964,8.76428248,65,48,33,47.68933165,42.58333333,18
Barley,Clay,6.25,22.65197672,77.34802328,12.91627246,60,50,40,59.17874812,43.75,59
Corn,Clay,6.25,24.49359641,75.50640359,14.56689269,72,55,40,44.01471818,48.70833333,10
Rice,Peaty,5.5,30.79690522,69.20309478,12.91930468,71.5,54,38.5,23.45907753,27.33333333,41
Barley,Clay,6.25,26.01617977,73.98382023,10.43524195,60,50,40,26.15831933,43.75,42
Soybean,Clay,6.25,21.39866141,78.60133859,5.418703255,54,50,44,66.26703875,43.16666667,88
Corn,Peaty,5.5,25.16353878,74.83646122,6.719539799,66,49.5,35,30.49934056,25.08333333,84
Barley,Peaty,5.5,24.46367617,75.53632383,10.6713621,55,45,35,29.30430731,22.5,94
Soybean,Loamy,6.5,22.02232532,77.97767468,12.70159923,63,60,55,83.06752181,59.33333333,97
Corn,Peaty,5.5,21.79461867,78.20538133,11.2126386,66,49.5,35,52.93254892,25.08333333,28
Barley,Peaty,5.5,28.97927815,71.02072185,9.998331113,55,45,35,4.922939582,22.5,60
Soybean,Sandy,6.75,22.01685471,77.98314529,16.29381802,45,40,33,42.39356593,34.41666667,12
Corn,Loamy,6.5,24.36541098,75.63458902,11.72771331,84,66,50,55.50390519,66.66666667,94
Corn,Sandy,6.75,27.67522596,72.32477404,11.72041896,60,44,30,15.30852294,39.08333333,67
Rice,Clay,6.25,20.04354809,79.95645191,12.76179473,78,60,44,40.28152735,53.08333333,18
Barley,Loamy,6.5,23.1273387,76.8726613,11.28739858,70,60,50,57.42082435,60,40
Rice,Sandy,6.75,16.09771424,80,11.02311553,65,48,33,6.37081636,42.58333333,11
Barley,Peaty,5.5,22.9826347,77.0173653,14.67213045,55,45,35,39.86568772,22.5,51
Corn,Loamy,6.5,20.91035995,79.08964005,11.65247975,84,66,50,79.2382323,66.66666667,1
Barley,Loamy,6.5,25.00662844,74.99337156,6.290438991,70,60,50,47.97186908,60,89
Rice,Peaty,5.5,30.16945395,69.83054605,14.40121491,71.5,54,38.5,32.3738602,27.33333333,53
Barley,Loamy,6.5,24.44732201,75.55267799,11.50249477,70,60,50,45.58400794,60,71
